time 00h 22m 36s, episodes 7341, frames 1.262999M, mean epr -84.35, run loss 3227.52
time 00h 22m 42s, episodes 7366, frames 1.268229M, mean epr -43.78, run loss 2923.56
time 00h 22m 47s, episodes 7378, frames 1.273374M, mean epr 6.96, run loss 2690.11
time 00h 22m 53s, episodes 7394, frames 1.278835M, mean epr 34.58, run loss 2381.75
time 00h 22m 58s, episodes 7407, frames 1.283541M, mean epr 306.66, run loss 1645.38
time 00h 23m 03s, episodes 7418, frames 1.288096M, mean epr -6.35, run loss 1551.39
time 00h 23m 08s, episodes 7437, frames 1.292755M, mean epr 198.93, run loss 2310.52
time 00h 23m 14s, episodes 7462, frames 1.298118M, mean epr 187.43, run loss 3458.40
time 00h 23m 19s, episodes 7483, frames 1.302925M, mean epr 180.03, run loss 3234.04
time 00h 23m 24s, episodes 7506, frames 1.307599M, mean epr -155.46, run loss 2165.50
time 00h 23m 30s, episodes 7528, frames 1.312798M, mean epr -124.03, run loss 1879.04
time 00h 23m 35s, episodes 7547, frames 1.317831M, mean epr -47.94, run loss 2457.01
time 00h 23m 40s, episodes 7565, frames 1.322845M, mean epr -32.33, run loss 2498.68
time 00h 23m 46s, episodes 7575, frames 1.327578M, mean epr 251.41, run loss 6232.47
time 00h 23m 51s, episodes 7594, frames 1.332782M, mean epr 307.66, run loss 1839.63
time 00h 23m 56s, episodes 7609, frames 1.337393M, mean epr -243.72, run loss 4420.69
time 00h 24m 02s, episodes 7636, frames 1.342844M, mean epr 186.95, run loss 3043.50
time 00h 24m 07s, episodes 7647, frames 1.347533M, mean epr -189.56, run loss 1923.96
time 00h 24m 12s, episodes 7658, frames 1.352154M, mean epr -94.12, run loss 2265.87
time 00h 24m 17s, episodes 7675, frames 1.357108M, mean epr -40.23, run loss 5237.76
time 00h 24m 23s, episodes 7694, frames 1.362332M, mean epr -3.71, run loss 829.26
time 00h 24m 28s, episodes 7708, frames 1.367163M, mean epr -50.50, run loss 2211.36
time 00h 24m 33s, episodes 7728, frames 1.371909M, mean epr -22.46, run loss 1978.46
time 00h 24m 38s, episodes 7752, frames 1.376577M, mean epr -39.87, run loss 4353.00
time 00h 24m 43s, episodes 7768, frames 1.381342M, mean epr -32.17, run loss 2326.49
time 00h 24m 48s, episodes 7787, frames 1.386073M, mean epr -42.54, run loss 3288.31
time 00h 24m 54s, episodes 7800, frames 1.391078M, mean epr -211.87, run loss 3013.69
time 00h 24m 59s, episodes 7812, frames 1.396087M, mean epr -50.33, run loss 5600.43
time 00h 25m 04s, episodes 7832, frames 1.400966M, mean epr -100.74, run loss 4283.06
time 00h 25m 10s, episodes 7847, frames 1.406100M, mean epr 32.40, run loss 2298.84
time 00h 25m 15s, episodes 7858, frames 1.411371M, mean epr 1.76, run loss 2898.52
time 00h 25m 21s, episodes 7875, frames 1.416159M, mean epr -123.80, run loss 3743.45
time 00h 25m 26s, episodes 7893, frames 1.420855M, mean epr -158.39, run loss 2376.96
time 00h 25m 31s, episodes 7907, frames 1.426159M, mean epr -189.22, run loss 2662.83
time 00h 25m 37s, episodes 7932, frames 1.431122M, mean epr -71.10, run loss 2665.80
time 00h 25m 42s, episodes 7950, frames 1.436122M, mean epr 11.62, run loss 1607.58
time 00h 25m 47s, episodes 7963, frames 1.440782M, mean epr -115.40, run loss 2113.10
time 00h 25m 52s, episodes 7978, frames 1.445447M, mean epr 19.30, run loss 1298.84
time 00h 25m 57s, episodes 7991, frames 1.450177M, mean epr 210.09, run loss 2334.33
time 00h 26m 03s, episodes 8026, frames 1.455393M, mean epr -34.95, run loss 1698.21
time 00h 26m 08s, episodes 8047, frames 1.460285M, mean epr -69.42, run loss 2058.55
time 00h 26m 14s, episodes 8062, frames 1.465484M, mean epr 32.65, run loss 2594.11
time 00h 26m 19s, episodes 8090, frames 1.470229M, mean epr -9.75, run loss 2018.48
