time 00h 45m 34s, episodes 4868, frames 0.922504M, mean epr 0.87, run loss 1834.71
time 00h 45m 44s, episodes 4873, frames 0.925949M, mean epr -245.76, run loss 2899.04
time 00h 45m 54s, episodes 4884, frames 0.929252M, mean epr -17.94, run loss 1835.09
time 00h 46m 04s, episodes 4889, frames 0.932601M, mean epr 53.74, run loss 1867.63
time 00h 46m 14s, episodes 4895, frames 0.935944M, mean epr 17.05, run loss 1579.38
time 00h 46m 26s, episodes 4920, frames 0.939671M, mean epr 36.29, run loss 1645.83
time 00h 46m 36s, episodes 4940, frames 0.943265M, mean epr 42.36, run loss 1306.37
time 00h 46m 46s, episodes 4957, frames 0.946769M, mean epr -62.94, run loss 2061.42
time 00h 46m 57s, episodes 4974, frames 0.950409M, mean epr 279.91, run loss 2103.77
time 00h 47m 07s, episodes 4985, frames 0.953844M, mean epr -36.42, run loss 1402.57
time 00h 47m 17s, episodes 4997, frames 0.957388M, mean epr -207.28, run loss 2461.45
time 00h 47m 28s, episodes 5017, frames 0.961036M, mean epr -110.67, run loss 2975.54
time 00h 47m 38s, episodes 5029, frames 0.964448M, mean epr -8.01, run loss 1809.94
time 00h 47m 48s, episodes 5043, frames 0.967744M, mean epr -46.80, run loss 1895.22
time 00h 47m 59s, episodes 5055, frames 0.971502M, mean epr -150.64, run loss 2569.89
time 00h 48m 09s, episodes 5074, frames 0.974989M, mean epr -1.02, run loss 2794.41
time 00h 48m 20s, episodes 5087, frames 0.978700M, mean epr -233.32, run loss 2380.49
time 00h 48m 30s, episodes 5098, frames 0.982166M, mean epr -95.87, run loss 2054.71
time 00h 48m 40s, episodes 5115, frames 0.985723M, mean epr -40.57, run loss 2904.01
time 00h 48m 50s, episodes 5132, frames 0.989170M, mean epr -49.11, run loss 1920.82
time 00h 49m 01s, episodes 5154, frames 0.992580M, mean epr -90.77, run loss 1275.67
time 00h 49m 11s, episodes 5170, frames 0.996028M, mean epr 24.30, run loss 2224.92
time 00h 49m 21s, episodes 5182, frames 0.999570M, mean epr -182.67, run loss 2638.89

	1M frames: saved model

time 00h 49m 32s, episodes 5197, frames 1.003427M, mean epr -215.56, run loss 3484.85
time 00h 49m 43s, episodes 5214, frames 1.007136M, mean epr 302.83, run loss 1832.42
time 00h 49m 53s, episodes 5228, frames 1.010711M, mean epr -38.60, run loss 2758.37
time 00h 50m 04s, episodes 5241, frames 1.014304M, mean epr -223.24, run loss 7541.37
time 00h 50m 15s, episodes 5261, frames 1.018130M, mean epr 16.50, run loss 2391.16
time 00h 50m 26s, episodes 5273, frames 1.021761M, mean epr 36.79, run loss 3329.02
time 00h 50m 36s, episodes 5285, frames 1.025362M, mean epr 19.46, run loss 3076.83
time 00h 50m 47s, episodes 5300, frames 1.029001M, mean epr -182.13, run loss 3714.83
time 00h 50m 57s, episodes 5320, frames 1.032569M, mean epr -237.52, run loss 3082.05
time 00h 51m 08s, episodes 5330, frames 1.036110M, mean epr -172.41, run loss 3013.22
time 00h 51m 18s, episodes 5350, frames 1.039518M, mean epr -186.77, run loss 2841.58
time 00h 51m 28s, episodes 5370, frames 1.043226M, mean epr -1.16, run loss 1543.26
time 00h 51m 39s, episodes 5386, frames 1.046861M, mean epr 47.46, run loss 1788.02
time 00h 51m 50s, episodes 5401, frames 1.050548M, mean epr 24.28, run loss 1479.62
time 00h 52m 01s, episodes 5413, frames 1.054033M, mean epr 47.62, run loss 1819.24
time 00h 52m 11s, episodes 5426, frames 1.057279M, mean epr -155.21, run loss 2688.01
time 00h 52m 21s, episodes 5437, frames 1.060592M, mean epr -174.46, run loss 2758.88
time 00h 52m 32s, episodes 5450, frames 1.064191M, mean epr -44.76, run loss 2268.81
time 00h 52m 43s, episodes 5460, frames 1.067769M, mean epr 1.98, run loss 1819.98
time 00h 52m 54s, episodes 5471, frames 1.071355M, mean epr 301.86, run loss 2246.13
time 00h 53m 04s, episodes 5482, frames 1.075042M, mean epr -14.38, run loss 2896.00
time 00h 53m 15s, episodes 5493, frames 1.078419M, mean epr -16.33, run loss 3188.77
time 00h 53m 25s, episodes 5506, frames 1.081910M, mean epr 42.13, run loss 2240.35
