time 00h 24m 48s, episodes 2414, frames 0.3M, mean epr -490.28, run loss 2175.64
time 00h 24m 59s, episodes 2429, frames 0.3M, mean epr -495.39, run loss 2177.01
time 00h 25m 09s, episodes 2446, frames 0.3M, mean epr -492.33, run loss 2220.35
time 00h 25m 19s, episodes 2461, frames 0.3M, mean epr -503.26, run loss 2233.49
time 00h 25m 29s, episodes 2479, frames 0.3M, mean epr -507.90, run loss 2258.42
time 00h 25m 40s, episodes 2498, frames 0.3M, mean epr -508.19, run loss 2245.95
time 00h 25m 50s, episodes 2514, frames 0.3M, mean epr -501.20, run loss 2297.63
time 00h 26m 00s, episodes 2533, frames 0.3M, mean epr -489.56, run loss 2230.35
time 00h 26m 11s, episodes 2551, frames 0.3M, mean epr -480.24, run loss 2184.81
time 00h 26m 21s, episodes 2568, frames 0.3M, mean epr -465.81, run loss 2084.13
time 00h 26m 31s, episodes 2582, frames 0.3M, mean epr -462.77, run loss 2045.51
time 00h 26m 41s, episodes 2596, frames 0.3M, mean epr -470.80, run loss 2060.94
time 00h 26m 51s, episodes 2613, frames 0.3M, mean epr -470.23, run loss 2044.75
time 00h 27m 01s, episodes 2628, frames 0.3M, mean epr -469.05, run loss 2057.91
time 00h 27m 12s, episodes 2648, frames 0.3M, mean epr -473.40, run loss 2080.71
time 00h 27m 22s, episodes 2664, frames 0.3M, mean epr -480.07, run loss 2097.70
time 00h 27m 33s, episodes 2680, frames 0.3M, mean epr -489.52, run loss 2121.10
time 00h 27m 43s, episodes 2696, frames 0.3M, mean epr -502.25, run loss 2229.37
time 00h 27m 53s, episodes 2715, frames 0.3M, mean epr -490.91, run loss 2230.73
time 00h 28m 04s, episodes 2731, frames 0.3M, mean epr -494.40, run loss 2261.33
time 00h 28m 14s, episodes 2747, frames 0.3M, mean epr -498.18, run loss 2262.57
time 00h 28m 24s, episodes 2764, frames 0.3M, mean epr -503.56, run loss 2246.13
time 00h 28m 34s, episodes 2784, frames 0.3M, mean epr -505.85, run loss 2294.67
time 00h 28m 45s, episodes 2801, frames 0.3M, mean epr -495.87, run loss 2225.73
time 00h 28m 55s, episodes 2819, frames 0.3M, mean epr -492.99, run loss 2192.34
time 00h 29m 05s, episodes 2836, frames 0.3M, mean epr -483.54, run loss 2174.12
time 00h 29m 16s, episodes 2852, frames 0.3M, mean epr -473.25, run loss 2116.35
time 00h 29m 26s, episodes 2872, frames 0.3M, mean epr -468.67, run loss 2088.18
time 00h 29m 37s, episodes 2889, frames 0.3M, mean epr -458.07, run loss 2043.27
time 00h 29m 47s, episodes 2906, frames 0.3M, mean epr -448.11, run loss 1983.77
time 00h 29m 57s, episodes 2921, frames 0.3M, mean epr -426.87, run loss 1931.78
time 00h 30m 07s, episodes 2939, frames 0.3M, mean epr -439.19, run loss 2010.74
time 00h 30m 18s, episodes 2956, frames 0.3M, mean epr -427.97, run loss 1986.22
time 00h 30m 28s, episodes 2973, frames 0.3M, mean epr -434.54, run loss 2019.43
time 00h 30m 38s, episodes 2990, frames 0.3M, mean epr -435.83, run loss 1997.61
time 00h 30m 48s, episodes 3006, frames 0.3M, mean epr -438.60, run loss 2011.22
time 00h 30m 59s, episodes 3025, frames 0.3M, mean epr -435.20, run loss 1966.12
time 00h 31m 09s, episodes 3039, frames 0.3M, mean epr -437.64, run loss 1958.85
time 00h 31m 20s, episodes 3060, frames 0.3M, mean epr -452.15, run loss 2038.33
time 00h 31m 30s, episodes 3076, frames 0.3M, mean epr -441.24, run loss 1967.74
time 00h 31m 40s, episodes 3094, frames 0.3M, mean epr -444.70, run loss 1987.14
time 00h 31m 51s, episodes 3111, frames 0.3M, mean epr -448.90, run loss 1988.32
