
time 00h 13m 24s, episodes 844, frames 0.128795M, mean epr -112.50, run loss -1868.68
time 00h 13m 30s, episodes 848, frames 0.129687M, mean epr -121.08, run loss -3682.07
time 00h 13m 35s, episodes 850, frames 0.130504M, mean epr -115.34, run loss -2908.84
time 00h 13m 40s, episodes 853, frames 0.131321M, mean epr -119.09, run loss -3260.20
time 00h 13m 46s, episodes 857, frames 0.132212M, mean epr -110.89, run loss -2491.44
time 00h 13m 51s, episodes 858, frames 0.133030M, mean epr -116.80, run loss -2899.23
time 00h 13m 56s, episodes 861, frames 0.133861M, mean epr -119.19, run loss -2101.67
time 00h 14m 01s, episodes 862, frames 0.134706M, mean epr -118.78, run loss -2926.25
time 00h 14m 06s, episodes 862, frames 0.135558M, mean epr -118.78, run loss -2926.25
time 00h 14m 11s, episodes 862, frames 0.136400M, mean epr -118.78, run loss -2926.25
time 00h 14m 16s, episodes 862, frames 0.137203M, mean epr -118.78, run loss -2926.25
time 00h 14m 21s, episodes 862, frames 0.138000M, mean epr -118.78, run loss -2926.25
time 00h 14m 26s, episodes 862, frames 0.138813M, mean epr -118.78, run loss -2926.25
time 00h 14m 31s, episodes 862, frames 0.139649M, mean epr -118.78, run loss -2926.25
time 00h 14m 36s, episodes 864, frames 0.140439M, mean epr -115.64, run loss -1450.93
time 00h 14m 42s, episodes 865, frames 0.141346M, mean epr -111.83, run loss -2712.17
time 00h 14m 47s, episodes 866, frames 0.142154M, mean epr -119.93, run loss -3332.89
time 00h 14m 52s, episodes 867, frames 0.142962M, mean epr -120.76, run loss -4382.08
time 00h 14m 57s, episodes 867, frames 0.143764M, mean epr -120.76, run loss -4382.08
time 00h 15m 02s, episodes 867, frames 0.144602M, mean epr -120.76, run loss -4382.08
time 00h 15m 07s, episodes 867, frames 0.145407M, mean epr -120.76, run loss -4382.08
time 00h 15m 12s, episodes 867, frames 0.146216M, mean epr -120.76, run loss -4382.08
time 00h 15m 17s, episodes 868, frames 0.147027M, mean epr -446.40, run loss -93413.79
time 00h 15m 23s, episodes 868, frames 0.147922M, mean epr -446.40, run loss -93413.79
time 00h 15m 28s, episodes 869, frames 0.148751M, mean epr -125.23, run loss -4793.47
time 00h 15m 33s, episodes 871, frames 0.149559M, mean epr -118.37, run loss -2907.53
time 00h 15m 38s, episodes 871, frames 0.150373M, mean epr -118.37, run loss -2907.53
time 00h 15m 43s, episodes 871, frames 0.151189M, mean epr -118.37, run loss -2907.53
time 00h 15m 48s, episodes 871, frames 0.151997M, mean epr -118.37, run loss -2907.53
time 00h 15m 53s, episodes 871, frames 0.152861M, mean epr -118.37, run loss -2907.53
time 00h 15m 58s, episodes 871, frames 0.153677M, mean epr -118.37, run loss -2907.53
time 00h 16m 03s, episodes 871, frames 0.154508M, mean epr -118.37, run loss -2907.53
time 00h 16m 08s, episodes 871, frames 0.155313M, mean epr -118.37, run loss -2907.53
time 00h 16m 14s, episodes 871, frames 0.156182M, mean epr -118.37, run loss -2907.53
time 00h 16m 19s, episodes 873, frames 0.156979M, mean epr -115.09, run loss -2085.64
time 00h 16m 24s, episodes 875, frames 0.157815M, mean epr -113.62, run loss -3248.88
time 00h 16m 29s, episodes 875, frames 0.158696M, mean epr -113.62, run loss -3248.88
time 00h 16m 34s, episodes 875, frames 0.159551M, mean epr -113.62, run loss -3248.88
time 00h 16m 39s, episodes 875, frames 0.160381M, mean epr -113.62, run loss -3248.88
time 00h 16m 44s, episodes 875, frames 0.161192M, mean epr -113.62, run loss -3248.88
time 00h 16m 49s, episodes 875, frames 0.161993M, mean epr -113.62, run loss -3248.88
time 00h 16m 54s, episodes 875, frames 0.162800M, mean epr -113.62, run loss -3248.88
time 00h 16m 59s, episodes 875, frames 0.163582M, mean epr -113.62, run loss -3248.88
time 00h 17m 05s, episodes 875, frames 0.164496M, mean epr -113.62, run loss -3248.88
time 00h 17m 10s, episodes 875, frames 0.165287M, mean epr -113.62, run loss -3248.88
time 00h 17m 15s, episodes 875, frames 0.166128M, mean epr -113.62, run loss -3248.88
time 00h 17m 20s, episodes 875, frames 0.166930M, mean epr -113.62, run loss -3248.88
time 00h 17m 25s, episodes 875, frames 0.167777M, mean epr -113.62, run loss -3248.88
time 00h 17m 30s, episodes 878, frames 0.168578M, mean epr -452.46, run loss -124173.70
time 00h 17m 35s, episodes 881, frames 0.169437M, mean epr -117.86, run loss -2921.57
time 00h 17m 41s, episodes 884, frames 0.170308M, mean epr -114.71, run loss -2936.39
time 00h 17m 46s, episodes 888, frames 0.171139M, mean epr -117.79, run loss -4014.77
time 00h 17m 51s, episodes 890, frames 0.171969M, mean epr -115.69, run loss -3810.95
time 00h 17m 56s, episodes 892, frames 0.172841M, mean epr -125.25, run loss -4145.11
time 00h 18m 01s, episodes 895, frames 0.173658M, mean epr -116.70, run loss -1732.46
time 00h 18m 06s, episodes 895, frames 0.174499M, mean epr -116.70, run loss -1732.46
time 00h 18m 12s, episodes 896, frames 0.175340M, mean epr -129.29, run loss -5807.82
time 00h 18m 17s, episodes 896, frames 0.176183M, mean epr -129.29, run loss -5807.82
