time 00h 00m 10s, episodes 19, frames 0.002669M, mean epr -555.20, run loss 2343.91
time 02h 45m 01s, episodes 10181, frames 3.242328M, mean epr -398.11, run loss 4911.21
time 02h 45m 11s, episodes 10182, frames 3.245373M, mean epr -490.20, run loss 5365.45
time 02h 45m 21s, episodes 10182, frames 3.248326M, mean epr -490.20, run loss 5365.45
time 02h 45m 33s, episodes 10183, frames 3.251898M, mean epr -539.84, run loss 5493.16
time 02h 45m 44s, episodes 10183, frames 3.255075M, mean epr -539.84, run loss 5493.16
time 02h 45m 55s, episodes 10183, frames 3.258213M, mean epr -539.84, run loss 5493.16
time 02h 46m 06s, episodes 10185, frames 3.261559M, mean epr -730.11, run loss 5112.91
time 02h 46m 16s, episodes 10186, frames 3.264488M, mean epr -362.72, run loss 5565.50
time 02h 46m 28s, episodes 10187, frames 3.267898M, mean epr -745.79, run loss 4940.45
time 02h 46m 39s, episodes 10189, frames 3.271001M, mean epr -517.64, run loss 5995.80
time 02h 46m 49s, episodes 10191, frames 3.274044M, mean epr -563.50, run loss 6042.11
time 02h 47m 00s, episodes 10191, frames 3.277313M, mean epr -563.50, run loss 6042.11
time 02h 47m 10s, episodes 10191, frames 3.280268M, mean epr -563.50, run loss 6042.11
time 02h 47m 20s, episodes 10192, frames 3.283203M, mean epr -330.04, run loss 4565.45
time 02h 47m 32s, episodes 10192, frames 3.286571M, mean epr -330.04, run loss 4565.45
time 02h 47m 43s, episodes 10192, frames 3.289691M, mean epr -330.04, run loss 4565.45
time 02h 47m 53s, episodes 10192, frames 3.292574M, mean epr -330.04, run loss 4565.45
time 02h 48m 04s, episodes 10192, frames 3.295870M, mean epr -330.04, run loss 4565.45
time 02h 48m 14s, episodes 10194, frames 3.298738M, mean epr -477.04, run loss 3348.81
time 02h 48m 25s, episodes 10194, frames 3.301989M, mean epr -477.04, run loss 3348.81
time 02h 48m 36s, episodes 10196, frames 3.305323M, mean epr -797.89, run loss 5660.34
time 02h 48m 47s, episodes 10198, frames 3.308413M, mean epr -797.54, run loss 7551.86
time 02h 48m 57s, episodes 10198, frames 3.311506M, mean epr -797.54, run loss 7551.86
time 02h 49m 07s, episodes 10201, frames 3.314488M, mean epr -811.51, run loss 4676.41
time 02h 49m 17s, episodes 10204, frames 3.317520M, mean epr -214.44, run loss 3035.17
time 02h 49m 29s, episodes 10205, frames 3.321079M, mean epr -844.45, run loss 6441.17
time 02h 49m 41s, episodes 10205, frames 3.324724M, mean epr -844.45, run loss 6441.17
time 02h 49m 51s, episodes 10205, frames 3.327675M, mean epr -844.45, run loss 6441.17
time 02h 50m 02s, episodes 10206, frames 3.330822M, mean epr -778.33, run loss 6206.97
time 02h 50m 13s, episodes 10208, frames 3.334329M, mean epr -760.20, run loss 5616.15
time 02h 50m 23s, episodes 10210, frames 3.337497M, mean epr -744.19, run loss 5841.31
time 02h 50m 33s, episodes 10210, frames 3.340498M, mean epr -744.19, run loss 5841.31
time 02h 50m 43s, episodes 10212, frames 3.343702M, mean epr -227.63, run loss 1372.10
time 02h 50m 55s, episodes 10213, frames 3.347286M, mean epr -834.49, run loss 4993.90
time 02h 51m 05s, episodes 10214, frames 3.350445M, mean epr -257.62, run loss 4075.91
time 02h 51m 16s, episodes 10216, frames 3.353919M, mean epr -764.94, run loss 5642.81
time 02h 51m 26s, episodes 10216, frames 3.357056M, mean epr -764.94, run loss 5642.81
time 02h 51m 36s, episodes 10217, frames 3.360135M, mean epr -760.60, run loss 5475.45
time 02h 51m 46s, episodes 10219, frames 3.363333M, mean epr -571.18, run loss 6950.60
time 02h 51m 58s, episodes 10220, frames 3.366891M, mean epr -407.82, run loss 2017.99
time 02h 52m 08s, episodes 10222, frames 3.370043M, mean epr -337.32, run loss 5349.98
time 02h 52m 18s, episodes 10222, frames 3.373126M, mean epr -337.32, run loss 5349.98
time 02h 52m 28s, episodes 10223, frames 3.376364M, mean epr -454.20, run loss 5437.30
time 02h 52m 38s, episodes 10224, frames 3.379588M, mean epr -761.66, run loss 5872.47
time 02h 52m 49s, episodes 10224, frames 3.383093M, mean epr -761.66, run loss 5872.47
time 02h 52m 59s, episodes 10228, frames 3.386298M, mean epr -633.18, run loss 3891.99
time 02h 53m 10s, episodes 10230, frames 3.389957M, mean epr -773.93, run loss 5755.01
time 02h 53m 20s, episodes 10231, frames 3.393258M, mean epr -85.06, run loss 639.11
time 02h 53m 30s, episodes 10234, frames 3.396562M, mean epr -649.84, run loss 4687.78
time 02h 53m 41s, episodes 10234, frames 3.399991M, mean epr -649.84, run loss 4687.78
time 02h 53m 52s, episodes 10235, frames 3.403475M, mean epr -129.14, run loss 1320.47
time 02h 54m 03s, episodes 10238, frames 3.407271M, mean epr -415.95, run loss 3082.90
time 02h 54m 15s, episodes 10239, frames 3.411084M, mean epr -455.20, run loss 3119.36
time 02h 54m 25s, episodes 10239, frames 3.414403M, mean epr -455.20, run loss 3119.36
time 02h 54m 35s, episodes 10241, frames 3.417954M, mean epr -534.79, run loss 4382.47
time 02h 54m 46s, episodes 10242, frames 3.421523M, mean epr -346.78, run loss 2299.22
time 02h 54m 58s, episodes 10242, frames 3.425157M, mean epr -346.78, run loss 2299.22
time 02h 55m 09s, episodes 10242, frames 3.428776M, mean epr -346.78, run loss 2299.22
time 02h 55m 19s, episodes 10243, frames 3.432105M, mean epr -477.89, run loss 2135.71
time 02h 55m 30s, episodes 10243, frames 3.435856M, mean epr -477.89, run loss 2135.71
time 02h 55m 42s, episodes 10243, frames 3.439541M, mean epr -477.89, run loss 2135.71
time 02h 55m 54s, episodes 10243, frames 3.443287M, mean epr -477.89, run loss 2135.71
time 02h 56m 05s, episodes 10243, frames 3.446938M, mean epr -477.89, run loss 2135.71
time 02h 56m 16s, episodes 10243, frames 3.450168M, mean epr -477.89, run loss 2135.71
time 02h 56m 26s, episodes 10243, frames 3.453228M, mean epr -477.89, run loss 2135.71
time 02h 56m 37s, episodes 10245, frames 3.456871M, mean epr -564.14, run loss 4338.29
time 02h 56m 49s, episodes 10247, frames 3.460574M, mean epr -539.72, run loss 4156.83
time 02h 56m 59s, episodes 10248, frames 3.463907M, mean epr -303.10, run loss 2014.24
time 02h 57m 09s, episodes 10248, frames 3.467016M, mean epr -303.10, run loss 2014.24
time 02h 57m 19s, episodes 10249, frames 3.470458M, mean epr -257.36, run loss 1702.69
time 02h 57m 29s, episodes 10250, frames 3.473598M, mean epr -529.28, run loss 3604.19
time 02h 57m 39s, episodes 10251, frames 3.476815M, mean epr -568.10, run loss 7120.82
time 02h 57m 50s, episodes 10251, frames 3.480137M, mean epr -568.10, run loss 7120.82
time 02h 58m 01s, episodes 10252, frames 3.483632M, mean epr -337.07, run loss 2191.96
time 02h 58m 12s, episodes 10252, frames 3.486961M, mean epr -337.07, run loss 2191.96
time 02h 58m 23s, episodes 10252, frames 3.490309M, mean epr -337.07, run loss 2191.96
time 02h 58m 33s, episodes 10254, frames 3.493519M, mean epr -649.86, run loss 4326.77
time 02h 58m 44s, episodes 10254, frames 3.497067M, mean epr -649.86, run loss 4326.77
time 02h 58m 54s, episodes 10256, frames 3.500157M, mean epr -734.80, run loss 6796.06
time 02h 59m 05s, episodes 10257, frames 3.503515M, mean epr -742.57, run loss 5807.69
time 02h 59m 15s, episodes 10257, frames 3.506648M, mean epr -742.57, run loss 5807.69
time 02h 59m 25s, episodes 10260, frames 3.509687M, mean epr -481.64, run loss 5393.54
time 02h 59m 36s, episodes 10261, frames 3.513247M, mean epr -305.20, run loss 4137.22
time 02h 59m 47s, episodes 10261, frames 3.516453M, mean epr -305.20, run loss 4137.22
time 02h 59m 57s, episodes 10262, frames 3.519627M, mean epr -761.82, run loss 6191.67
time 03h 00m 09s, episodes 10263, frames 3.523320M, mean epr -340.52, run loss 4834.59
time 03h 00m 20s, episodes 10263, frames 3.526829M, mean epr -340.52, run loss 4834.59
time 03h 00m 30s, episodes 10264, frames 3.530005M, mean epr -165.30, run loss 1468.61
time 03h 00m 40s, episodes 10265, frames 3.533201M, mean epr -288.60, run loss 1728.08
time 03h 00m 50s, episodes 10266, frames 3.536355M, mean epr -575.12, run loss 5026.04
time 03h 01m 01s, episodes 10268, frames 3.539511M, mean epr -782.40, run loss 6757.78
time 03h 01m 11s, episodes 10269, frames 3.542795M, mean epr -373.52, run loss 2655.89
time 03h 01m 21s, episodes 10277, frames 3.545924M, mean epr -461.62, run loss 6562.42
time 03h 01m 33s, episodes 10280, frames 3.549627M, mean epr -839.36, run loss 5863.60
time 03h 01m 43s, episodes 10280, frames 3.552916M, mean epr -839.36, run loss 5863.60
time 03h 01m 55s, episodes 10281, frames 3.556725M, mean epr -107.71, run loss 914.61
time 03h 02m 06s, episodes 10281, frames 3.560382M, mean epr -107.71, run loss 914.61
time 03h 02m 16s, episodes 10282, frames 3.563549M, mean epr -782.27, run loss 6868.82
time 03h 02m 26s, episodes 10283, frames 3.566694M, mean epr -775.30, run loss 5681.55
time 03h 02m 36s, episodes 10284, frames 3.569882M, mean epr -303.73, run loss 1704.09
time 03h 02m 46s, episodes 10284, frames 3.573045M, mean epr -303.73, run loss 1704.09
time 03h 02m 56s, episodes 10287, frames 3.576371M, mean epr -136.46, run loss 1087.74
time 03h 03m 07s, episodes 10287, frames 3.579868M, mean epr -136.46, run loss 1087.74
time 03h 03m 19s, episodes 10288, frames 3.583345M, mean epr -348.52, run loss 5405.75
time 03h 03m 29s, episodes 10288, frames 3.586492M, mean epr -348.52, run loss 5405.75
time 03h 03m 40s, episodes 10288, frames 3.589944M, mean epr -348.52, run loss 5405.75
time 03h 03m 51s, episodes 10288, frames 3.593356M, mean epr -348.52, run loss 5405.75
time 03h 04m 01s, episodes 10288, frames 3.596554M, mean epr -348.52, run loss 5405.75
time 03h 04m 11s, episodes 10288, frames 3.599795M, mean epr -348.52, run loss 5405.75
time 03h 04m 21s, episodes 10289, frames 3.602926M, mean epr -774.48, run loss 6166.25
time 03h 04m 31s, episodes 10290, frames 3.606140M, mean epr -820.09, run loss 6257.85
time 03h 04m 41s, episodes 10290, frames 3.609286M, mean epr -820.09, run loss 6257.85
time 03h 04m 51s, episodes 10290, frames 3.612344M, mean epr -820.09, run loss 6257.85
time 03h 05m 01s, episodes 10290, frames 3.615386M, mean epr -820.09, run loss 6257.85
time 03h 05m 11s, episodes 10291, frames 3.618289M, mean epr -726.69, run loss 6473.62
time 03h 05m 22s, episodes 10291, frames 3.621412M, mean epr -726.69, run loss 6473.62
time 03h 05m 32s, episodes 10292, frames 3.624494M, mean epr -417.72, run loss 5746.08
time 03h 05m 42s, episodes 10293, frames 3.627470M, mean epr -392.00, run loss 2818.96
time 03h 05m 53s, episodes 10293, frames 3.630540M, mean epr -392.00, run loss 2818.96
time 03h 06m 05s, episodes 10294, frames 3.634165M, mean epr -774.26, run loss 6503.24
time 03h 06m 17s, episodes 10295, frames 3.637598M, mean epr -908.81, run loss 5650.85
time 03h 06m 28s, episodes 10297, frames 3.640931M, mean epr -794.73, run loss 6037.20
time 03h 06m 38s, episodes 10297, frames 3.643980M, mean epr -794.73, run loss 6037.20
time 03h 06m 49s, episodes 10301, frames 3.647274M, mean epr -94.76, run loss 578.94
time 03h 06m 59s, episodes 10301, frames 3.650283M, mean epr -94.76, run loss 578.94
time 03h 07m 09s, episodes 10302, frames 3.653397M, mean epr -379.38, run loss 2535.35
time 03h 07m 19s, episodes 10304, frames 3.656453M, mean epr -776.68, run loss 5133.03
time 03h 07m 30s, episodes 10306, frames 3.659715M, mean epr -116.72, run loss 461.85
time 03h 07m 41s, episodes 10307, frames 3.663209M, mean epr -178.59, run loss 1519.34
time 03h 07m 51s, episodes 10308, frames 3.666252M, mean epr -117.71, run loss 587.02
time 03h 08m 01s, episodes 10309, frames 3.669525M, mean epr -563.50, run loss 5297.66
time 03h 08m 13s, episodes 10312, frames 3.673247M, mean epr -808.14, run loss 6994.93
time 03h 08m 24s, episodes 10316, frames 3.676753M, mean epr -725.65, run loss 5781.03
time 03h 08m 35s, episodes 10317, frames 3.680404M, mean epr -646.63, run loss 3690.26
time 03h 08m 46s, episodes 10317, frames 3.683751M, mean epr -646.63, run loss 3690.26
time 03h 08m 57s, episodes 10318, frames 3.687293M, mean epr -625.74, run loss 3645.29
time 03h 09m 09s, episodes 10320, frames 3.690950M, mean epr -167.76, run loss 1047.60
time 03h 09m 20s, episodes 10321, frames 3.694517M, mean epr -777.60, run loss 5531.06
time 03h 09m 31s, episodes 10323, frames 3.698158M, mean epr -791.36, run loss 6101.99
time 03h 09m 42s, episodes 10323, frames 3.701440M, mean epr -791.36, run loss 6101.99
time 03h 09m 54s, episodes 10323, frames 3.705180M, mean epr -791.36, run loss 6101.99
time 03h 10m 05s, episodes 10326, frames 3.708608M, mean epr -240.89, run loss 1166.55
time 03h 10m 16s, episodes 10330, frames 3.712122M, mean epr -754.40, run loss 6110.93
time 03h 10m 27s, episodes 10331, frames 3.715679M, mean epr -754.16, run loss 6305.54
time 03h 10m 37s, episodes 10331, frames 3.718881M, mean epr -754.16, run loss 6305.54
time 03h 10m 47s, episodes 10333, frames 3.722080M, mean epr -104.86, run loss 796.23
time 03h 10m 58s, episodes 10333, frames 3.725503M, mean epr -104.86, run loss 796.23
time 03h 11m 08s, episodes 10333, frames 3.728799M, mean epr -104.86, run loss 796.23
time 03h 11m 18s, episodes 10333, frames 3.732025M, mean epr -104.86, run loss 796.23
time 03h 11m 29s, episodes 10333, frames 3.735486M, mean epr -104.86, run loss 796.23
time 03h 11m 41s, episodes 10334, frames 3.739112M, mean epr -172.71, run loss 1513.23
time 03h 11m 51s, episodes 10337, frames 3.742224M, mean epr -791.22, run loss 5446.07
time 03h 12m 01s, episodes 10339, frames 3.745491M, mean epr -231.97, run loss 1325.80
time 03h 12m 13s, episodes 10341, frames 3.748990M, mean epr -228.04, run loss 1725.56
time 03h 12m 23s, episodes 10343, frames 3.752374M, mean epr -113.61, run loss 450.11
time 03h 12m 33s, episodes 10343, frames 3.755509M, mean epr -113.61, run loss 450.11
time 03h 12m 45s, episodes 10347, frames 3.759078M, mean epr -91.56, run loss 480.91
time 03h 12m 55s, episodes 10348, frames 3.762245M, mean epr -828.96, run loss 6934.28
time 03h 13m 05s, episodes 10349, frames 3.765447M, mean epr -775.21, run loss 6323.18
time 03h 13m 15s, episodes 10350, frames 3.768694M, mean epr -883.52, run loss 6529.96
time 03h 13m 25s, episodes 10352, frames 3.771808M, mean epr -878.20, run loss 4938.17
time 03h 13m 35s, episodes 10354, frames 3.774917M, mean epr -619.17, run loss 7078.44
time 03h 13m 47s, episodes 10356, frames 3.778472M, mean epr -567.37, run loss 4678.83
time 03h 13m 57s, episodes 10358, frames 3.781696M, mean epr -79.74, run loss 469.70
time 03h 14m 08s, episodes 10359, frames 3.785197M, mean epr -214.44, run loss 1264.47
time 03h 14m 18s, episodes 10360, frames 3.788371M, mean epr -120.29, run loss 578.99
time 03h 14m 29s, episodes 10362, frames 3.791678M, mean epr -779.43, run loss 5457.67
time 03h 14m 41s, episodes 10363, frames 3.795336M, mean epr -201.28, run loss 840.21
time 03h 14m 52s, episodes 10366, frames 3.798884M, mean epr -835.58, run loss 6379.81
time 03h 15m 03s, episodes 10367, frames 3.802344M, mean epr -761.90, run loss 5377.04
time 03h 15m 13s, episodes 10367, frames 3.805569M, mean epr -761.90, run loss 5377.04
time 03h 15m 23s, episodes 10368, frames 3.808739M, mean epr -219.42, run loss 1217.96
time 03h 15m 35s, episodes 10369, frames 3.812216M, mean epr -830.67, run loss 6454.14
time 03h 15m 45s, episodes 10371, frames 3.815447M, mean epr -192.05, run loss 1076.66
time 03h 15m 56s, episodes 10372, frames 3.818973M, mean epr -825.82, run loss 5849.25
time 03h 16m 07s, episodes 10374, frames 3.822167M, mean epr -117.91, run loss 669.76
time 03h 16m 17s, episodes 10375, frames 3.825348M, mean epr -251.65, run loss 1214.66
time 03h 16m 27s, episodes 10376, frames 3.828508M, mean epr -406.17, run loss 3694.25
time 03h 16m 38s, episodes 10378, frames 3.832054M, mean epr -498.02, run loss 2530.28
time 03h 16m 48s, episodes 10379, frames 3.835098M, mean epr -712.97, run loss 3918.19
time 03h 16m 58s, episodes 10381, frames 3.838252M, mean epr -159.52, run loss 435.32
time 03h 17m 08s, episodes 10381, frames 3.841269M, mean epr -159.52, run loss 435.32
time 03h 17m 20s, episodes 10381, frames 3.844794M, mean epr -159.52, run loss 435.32
time 03h 17m 30s, episodes 10383, frames 3.847836M, mean epr -815.68, run loss 7693.76
time 03h 17m 41s, episodes 10387, frames 3.851466M, mean epr -631.23, run loss 3773.17
time 03h 17m 52s, episodes 10389, frames 3.854733M, mean epr -878.55, run loss 7242.17
time 03h 18m 03s, episodes 10390, frames 3.858196M, mean epr -449.28, run loss 2971.25
time 03h 18m 13s, episodes 10391, frames 3.861336M, mean epr -128.49, run loss 2838.40
time 03h 18m 25s, episodes 10391, frames 3.864974M, mean epr -128.49, run loss 2838.40
time 03h 18m 35s, episodes 10391, frames 3.868055M, mean epr -128.49, run loss 2838.40
time 03h 18m 45s, episodes 10391, frames 3.871184M, mean epr -128.49, run loss 2838.40
time 03h 18m 55s, episodes 10392, frames 3.874281M, mean epr -859.07, run loss 7443.31
time 03h 19m 06s, episodes 10394, frames 3.877554M, mean epr -164.55, run loss 1001.63
time 03h 19m 16s, episodes 10395, frames 3.880682M, mean epr -774.33, run loss 5429.77
time 03h 19m 26s, episodes 10395, frames 3.883745M, mean epr -774.33, run loss 5429.77
time 03h 19m 37s, episodes 10397, frames 3.887312M, mean epr -866.32, run loss 4964.57
time 03h 19m 47s, episodes 10397, frames 3.890422M, mean epr -866.32, run loss 4964.57
time 03h 19m 58s, episodes 10399, frames 3.893647M, mean epr -187.93, run loss 649.93
time 03h 20m 09s, episodes 10403, frames 3.897096M, mean epr -187.86, run loss 1068.20
time 03h 20m 19s, episodes 10404, frames 3.900353M, mean epr -324.28, run loss 1833.10
time 03h 20m 29s, episodes 10405, frames 3.903064M, mean epr -131.08, run loss 840.32
time 03h 20m 39s, episodes 10406, frames 3.905939M, mean epr -128.10, run loss 657.91
time 03h 20m 49s, episodes 10407, frames 3.908961M, mean epr -140.14, run loss 932.61
time 03h 21m 01s, episodes 10409, frames 3.912499M, mean epr -942.95, run loss 6736.82
time 03h 21m 12s, episodes 10410, frames 3.915685M, mean epr -602.64, run loss 3993.45
time 03h 21m 24s, episodes 10412, frames 3.919125M, mean epr -192.69, run loss 677.94
time 03h 21m 35s, episodes 10415, frames 3.922643M, mean epr -491.47, run loss 2709.31
time 03h 21m 46s, episodes 10417, frames 3.926202M, mean epr -447.72, run loss 2631.21
time 03h 21m 58s, episodes 10423, frames 3.929913M, mean epr -904.35, run loss 6430.05
time 03h 22m 09s, episodes 10426, frames 3.933497M, mean epr -839.74, run loss 5187.63
time 03h 22m 19s, episodes 10430, frames 3.936771M, mean epr -117.03, run loss 785.29
time 03h 22m 29s, episodes 10433, frames 3.939962M, mean epr -154.13, run loss 728.99
time 03h 22m 39s, episodes 10435, frames 3.943256M, mean epr -885.49, run loss 6661.64
time 03h 22m 49s, episodes 10440, frames 3.946554M, mean epr -177.62, run loss 1043.36
time 03h 23m 00s, episodes 10441, frames 3.950003M, mean epr -898.87, run loss 5870.24
time 03h 23m 11s, episodes 10441, frames 3.953378M, mean epr -898.87, run loss 5870.24
time 03h 23m 23s, episodes 10443, frames 3.957268M, mean epr -181.74, run loss 838.73
time 03h 23m 34s, episodes 10443, frames 3.960943M, mean epr -181.74, run loss 838.73
time 03h 23m 44s, episodes 10445, frames 3.964304M, mean epr -188.83, run loss 862.92
time 03h 23m 56s, episodes 10446, frames 3.967878M, mean epr -121.83, run loss 2298.17
time 03h 24m 07s, episodes 10446, frames 3.971523M, mean epr -121.83, run loss 2298.17
time 03h 24m 18s, episodes 10448, frames 3.975101M, mean epr -900.68, run loss 5620.67
time 03h 24m 30s, episodes 10451, frames 3.978636M, mean epr -135.21, run loss 225.30
time 03h 24m 40s, episodes 10452, frames 3.981933M, mean epr -302.50, run loss 1653.67
time 03h 24m 50s, episodes 10453, frames 3.984989M, mean epr -299.50, run loss 1153.62
time 03h 25m 01s, episodes 10455, frames 3.988615M, mean epr -126.43, run loss 2318.80
time 03h 25m 12s, episodes 10455, frames 3.992104M, mean epr -126.43, run loss 2318.80
time 03h 25m 22s, episodes 10457, frames 3.995351M, mean epr -947.38, run loss 6598.72
time 03h 25m 32s, episodes 10457, frames 3.998440M, mean epr -947.38, run loss 6598.72

	4M frames: saved model

time 03h 25m 42s, episodes 10457, frames 4.001507M, mean epr -947.38, run loss 6598.72
time 03h 25m 54s, episodes 10458, frames 4.005207M, mean epr -133.32, run loss 803.56
time 03h 26m 04s, episodes 10460, frames 4.008326M, mean epr -935.16, run loss 6239.78
time 03h 26m 15s, episodes 10460, frames 4.011746M, mean epr -935.16, run loss 6239.78
time 03h 26m 27s, episodes 10461, frames 4.015436M, mean epr -148.60, run loss 641.75
time 03h 26m 37s, episodes 10462, frames 4.018569M, mean epr -924.84, run loss 5954.91
time 03h 26m 47s, episodes 10462, frames 4.021700M, mean epr -924.84, run loss 5954.91
time 03h 26m 58s, episodes 10462, frames 4.025296M, mean epr -924.84, run loss 5954.91
time 03h 27m 09s, episodes 10463, frames 4.028465M, mean epr -955.67, run loss 5292.96
time 03h 27m 20s, episodes 10463, frames 4.032054M, mean epr -955.67, run loss 5292.96
time 03h 27m 30s, episodes 10465, frames 4.035318M, mean epr -547.79, run loss 2954.91
time 03h 27m 41s, episodes 10468, frames 4.038802M, mean epr -938.38, run loss 5338.43
time 03h 27m 52s, episodes 10470, frames 4.042315M, mean epr -919.76, run loss 5424.84
time 03h 28m 03s, episodes 10471, frames 4.045884M, mean epr -144.60, run loss 488.88
time 03h 28m 13s, episodes 10471, frames 4.049017M, mean epr -144.60, run loss 488.88
time 03h 28m 24s, episodes 10472, frames 4.052341M, mean epr -145.91, run loss 845.22
time 03h 28m 36s, episodes 10475, frames 4.056088M, mean epr -953.73, run loss 6649.67
time 03h 28m 47s, episodes 10475, frames 4.059660M, mean epr -953.73, run loss 6649.67
time 03h 28m 58s, episodes 10476, frames 4.063177M, mean epr -122.05, run loss 1628.74
time 03h 29m 09s, episodes 10476, frames 4.066647M, mean epr -122.05, run loss 1628.74
time 03h 29m 20s, episodes 10477, frames 4.070213M, mean epr -328.01, run loss 2676.56
time 03h 29m 31s, episodes 10478, frames 4.073324M, mean epr -915.63, run loss 5787.56
time 03h 29m 41s, episodes 10482, frames 4.076385M, mean epr -118.66, run loss 835.27
time 03h 29m 52s, episodes 10482, frames 4.080009M, mean epr -118.66, run loss 835.27
time 03h 30m 04s, episodes 10482, frames 4.083424M, mean epr -118.66, run loss 835.27
time 03h 30m 14s, episodes 10485, frames 4.086392M, mean epr -123.99, run loss 881.36
time 03h 30m 25s, episodes 10487, frames 4.089733M, mean epr -112.61, run loss 766.85
time 03h 30m 35s, episodes 10488, frames 4.092769M, mean epr -940.74, run loss 7057.73
time 03h 30m 45s, episodes 10491, frames 4.095934M, mean epr -131.26, run loss 941.05
time 03h 30m 58s, episodes 10491, frames 4.099750M, mean epr -131.26, run loss 941.05
time 03h 31m 08s, episodes 10494, frames 4.102880M, mean epr -942.81, run loss 6250.94
time 03h 31m 19s, episodes 10496, frames 4.106448M, mean epr -150.75, run loss 1017.81
time 03h 31m 30s, episodes 10500, frames 4.109792M, mean epr -151.11, run loss 713.41
time 03h 31m 40s, episodes 10501, frames 4.112782M, mean epr -259.16, run loss 1826.22
time 03h 31m 50s, episodes 10502, frames 4.115910M, mean epr -158.20, run loss 811.84
time 03h 32m 00s, episodes 10507, frames 4.119084M, mean epr -138.10, run loss 669.66
time 03h 32m 11s, episodes 10511, frames 4.122678M, mean epr -135.32, run loss 459.59
time 03h 32m 21s, episodes 10513, frames 4.125937M, mean epr -521.68, run loss 3364.11
time 03h 32m 33s, episodes 10517, frames 4.129645M, mean epr -122.15, run loss 383.18
time 03h 32m 44s, episodes 10520, frames 4.132979M, mean epr -140.64, run loss 530.20
time 03h 32m 55s, episodes 10525, frames 4.136436M, mean epr -126.78, run loss 551.54
time 03h 33m 07s, episodes 10529, frames 4.140222M, mean epr -266.92, run loss 1342.95
time 03h 33m 17s, episodes 10532, frames 4.143774M, mean epr -127.94, run loss 997.07
time 03h 33m 28s, episodes 10536, frames 4.147103M, mean epr -139.68, run loss 556.11
time 03h 33m 39s, episodes 10538, frames 4.150836M, mean epr -174.12, run loss 937.95
time 03h 33m 50s, episodes 10541, frames 4.154379M, mean epr -927.14, run loss 6368.66
time 03h 34m 01s, episodes 10544, frames 4.158064M, mean epr -705.19, run loss 4339.23
time 03h 34m 12s, episodes 10546, frames 4.161642M, mean epr -872.82, run loss 5508.94
time 03h 34m 23s, episodes 10552, frames 4.165034M, mean epr -140.75, run loss 722.68
time 03h 34m 34s, episodes 10557, frames 4.168882M, mean epr -173.61, run loss 790.46
time 03h 34m 45s, episodes 10561, frames 4.172365M, mean epr -978.46, run loss 6266.38
time 03h 34m 55s, episodes 10566, frames 4.175868M, mean epr -142.52, run loss 519.40
time 03h 35m 06s, episodes 10572, frames 4.179383M, mean epr -323.10, run loss 1826.26
time 03h 35m 17s, episodes 10575, frames 4.183156M, mean epr -96.17, run loss 399.40
time 03h 35m 27s, episodes 10579, frames 4.186552M, mean epr -163.48, run loss 999.56
time 03h 35m 37s, episodes 10586, frames 4.189917M, mean epr -122.75, run loss 523.07
time 03h 35m 48s, episodes 10587, frames 4.193813M, mean epr -135.81, run loss 400.51
time 03h 35m 58s, episodes 10590, frames 4.197163M, mean epr -129.94, run loss 2543.43
time 03h 36m 08s, episodes 10592, frames 4.200477M, mean epr -837.41, run loss 4750.49
time 03h 36m 19s, episodes 10597, frames 4.203883M, mean epr -113.98, run loss 759.36
time 03h 36m 30s, episodes 10601, frames 4.207599M, mean epr -211.52, run loss 1103.29
time 03h 36m 40s, episodes 10602, frames 4.211226M, mean epr -196.65, run loss 462.79
time 03h 36m 51s, episodes 10604, frames 4.214837M, mean epr -213.19, run loss 1053.67
time 03h 37m 02s, episodes 10609, frames 4.218620M, mean epr -421.11, run loss 2333.26
time 03h 37m 12s, episodes 10611, frames 4.221961M, mean epr -118.87, run loss 747.11
time 03h 37m 23s, episodes 10618, frames 4.225625M, mean epr -113.34, run loss 617.33
time 03h 37m 34s, episodes 10620, frames 4.229235M, mean epr -849.50, run loss 6059.22
time 03h 37m 44s, episodes 10626, frames 4.232639M, mean epr -110.58, run loss 500.42
time 03h 37m 55s, episodes 10628, frames 4.236302M, mean epr -365.32, run loss 1364.94
time 03h 38m 05s, episodes 10631, frames 4.239742M, mean epr -440.36, run loss 2167.23
time 03h 38m 15s, episodes 10634, frames 4.243147M, mean epr -110.68, run loss 350.60
time 03h 38m 25s, episodes 10636, frames 4.246487M, mean epr -99.58, run loss 1136.39
time 03h 38m 36s, episodes 10640, frames 4.250190M, mean epr -148.50, run loss 763.61
time 03h 38m 46s, episodes 10641, frames 4.253564M, mean epr -294.79, run loss 2293.97
time 03h 38m 57s, episodes 10644, frames 4.257307M, mean epr -120.81, run loss 572.94
time 03h 39m 09s, episodes 10644, frames 4.261069M, mean epr -120.81, run loss 572.94
time 03h 39m 20s, episodes 10647, frames 4.265032M, mean epr -747.10, run loss 5596.86
time 03h 39m 32s, episodes 10651, frames 4.268956M, mean epr -158.75, run loss 2340.25
time 03h 39m 42s, episodes 10652, frames 4.272246M, mean epr -306.13, run loss 1907.58
time 03h 39m 52s, episodes 10655, frames 4.275588M, mean epr -166.91, run loss 542.92
time 03h 40m 02s, episodes 10661, frames 4.278970M, mean epr -152.74, run loss 774.08
time 03h 40m 13s, episodes 10665, frames 4.282399M, mean epr -271.82, run loss 1512.36
